season,feature,ks_statistic,ks_p_value,psi,drifted
2024,away_xg_against_r10,0.13092538198730622,1.0087685160230917e-16,0.10801417448043779,False
2024,elo_diff,0.030889234734125526,0.22601967653765306,0.015945664491319136,False
2024,rest_diff,0.030316507883248675,0.2446454307648691,0.01063718151159951,False
2024,points_diff_r5,0.018979942959332644,0.8016837273866337,0.006729362351950088,False
2024,xg_diff_r5,0.04352063708500059,0.02684854112373235,0.023945473393529378,False
2024,goal_diff_r5,0.02453194884187456,0.4958672700934758,0.008746454136151396,False
2024,xg_overperformance_r5,0.02883659169519295,0.29799607151379826,0.009121359469341115,False
2024,points_diff_r10,0.02575243865824289,0.4612132581400812,0.007887990513124887,False
2024,xg_diff_r10,0.06157651988935806,0.0005244900531975079,0.03773707961875077,False
2024,goal_diff_r10,0.02102364556250439,0.7157512875876111,0.004691967505812753,False
2024,xg_overperformance_r10,0.021759874409899006,0.6752073354247887,0.008237941271338268,False
2025,home_elo,0.13297200835176204,8.141604083597537e-18,0.20449720024298498,True
2025,home_points_r5,0.01834165794826955,0.8343121690590932,0.006682239678003108,False
2025,home_points_r10,0.019166256221254854,0.810698728551257,0.0032972658039744835,False
2025,home_goals_for_r5,0.02900653230938034,0.2925083240319916,0.011991593292196099,False
2025,home_goals_for_r10,0.021675264002826652,0.6770094844934529,0.009932711643598392,False
2025,home_goals_against_r5,0.016719275369193168,0.9044509867226086,0.01011317589141122,False
2025,home_goals_against_r10,0.018365345446500855,0.8488669404375837,0.011914958704768127,False
2025,home_xg_for_r5,0.11106626369623643,1.4892499184669523e-12,0.06316652999614436,False
2025,home_xg_for_r10,0.12010329422370215,4.2459278992768493e-14,0.07160409044905204,False
2025,home_xg_against_r5,0.13421546507912785,3.832158899900881e-18,0.09551326688248733,False
2025,home_xg_against_r10,0.14586710717416518,1.3182069882268732e-20,0.11285267536631496,False
2025,away_elo,0.13938510912688645,1.5470351783587025e-19,0.21452950143425525,True
2025,away_points_r5,0.023277001599292624,0.5648985667343746,0.011331597470974786,False
2025,away_points_r10,0.022549121171311165,0.6285757372984508,0.011784449061984304,False
2025,away_goals_for_r5,0.032357439664068004,0.18400103227639159,0.008512749517575463,False
2025,away_goals_for_r10,0.021729242821131353,0.6741113726607313,0.006987524499596695,False
2025,away_goals_against_r5,0.03074561760707519,0.23150880661567466,0.01153760180287445,False
2025,away_goals_against_r10,0.016876076028671076,0.9099820208886302,0.0052743076964167695,False
2025,away_xg_for_r5,0.11317836811295105,5.094735179536351e-13,0.0709405497175965,False
2025,away_xg_for_r10,0.12642701750751062,1.4138691860496216e-15,0.07438370429953325,False
2025,away_xg_against_r5,0.12439185264670848,1.217440107544821e-15,0.07938660831203435,False
2025,away_xg_against_r10,0.14098454465179835,2.843244907071938e-19,0.11940314453434225,False
2025,elo_diff,0.01528716117952082,0.9503292568033692,0.0076987181323621085,False
2025,rest_diff,0.031225852874028185,0.21647706273401587,0.013183225344040582,False
2025,points_diff_r5,0.01245371940692824,0.9937960330472396,0.006358790254348001,False
2025,xg_diff_r5,0.01949490275817568,0.7757312728531562,0.014216618033506696,False
2025,goal_diff_r5,0.025471979265578336,0.4487810361748034,0.009115822642259748,False
2025,xg_overperformance_r5,0.02791324978588094,0.3362674240666079,0.010774772142417779,False
2025,points_diff_r10,0.013870939500230118,0.9834865278456929,0.0018329584194751874,False
2025,xg_diff_r10,0.02233671455639419,0.6455251769463388,0.006916481848341268,False
2025,goal_diff_r10,0.02341822936788612,0.5859882340275291,0.00965299442620118,False
2025,xg_overperformance_r10,0.032831384089965325,0.1910375987901771,0.01733011828748301,False
